FuelType,ElectricFuelConsumption,NetGeneration
Gas,"194,637","17,388"
Gas,"963,281","65,556"
Gas,0,"97,541"
Gas,"2,981,006","226,748"
Gas,"2,563,286","198,170"
Gas,"340,808","31,640"
Gas,"932,148","83,819"
Gas,"399,771","36,850"
Gas,"660,656","1,114,587"
Gas,"20,478,056","1,839,244"
Gas,"13,186,959","1,213,280"
Gas,"10,412,313","886,185"
Gas,"442,139","957,138"
Gas,"18,132,064","1,594,552"
Gas,"125,862","12,652"
Gas,"370,362","24,490"
Gas,"14,035","1,326"
Gas,"281,511","96,711"
Gas,"4,006,107","307,297"
Gas,"206,232","11,797"
Gas,"3,381",281
Gas,"49,796","2,415"
Gas,"192,299","12,305"
Gas,"307,347","20,749"
Gas,"297,801","19,850"
Gas,"260,861","17,636"
Gas,"305,655","24,152"
Gas,"305,594","23,718"
Gas,"794,781","55,560"
Gas,"796,622","57,300"
Gas,"5,764,703","1,230,538"
Gas,0,0
Gas,91,12
Gas,"26,198","1,644"
Gas,"13,837","2,909"
Gas,0,0
Gas,0,"32,880"
Gas,"1,860,423","143,865"
Gas,"1,202,072","177,561"
Gas,"9,953,400","2,133,081"
Gas,"905,314","168,657"
Gas,"12,313,110","2,274,454"
Gas,"416,429","81,335"
Gas,"104,258","18,473"
Gas,"175,336","9,503"
Gas,0,0
Gas,"4,524,063","868,164"
Gas,"9,084,876","1,908,797"
Gas,"472,989","62,971"
Gas,"4,047,818","682,429"
Gas,"2,782","799,576"
Gas,"17,258,413","1,515,881"
Gas,"44,964,443","6,339,567"
Gas,"1,779,417","1,392,942"
Gas,"23,360,327","2,188,309"
Gas,"446,018","1,146,561"
Gas,"21,904,409","2,211,623"
Gas,"171,815","450,758"
Gas,"10,004,339","955,671"
Gas,"260,822","1,771,732"
Gas,"36,621,203","3,241,545"
Gas,0,"288,821"
Gas,"5,617,964","502,825"
Gas,"167,888","1,017,909"
Gas,"19,003,121","1,760,788"
Gas,"701,505","1,280,521"
Gas,"23,504,457","2,172,372"
Gas,"928,436","1,565,514"
Gas,"28,948,731","2,699,766"
Gas,0,"1,762,889"
Gas,"34,618,431","3,216,818"
Gas,"7,613,603","1,110,335"
Gas,0,"1,178,863"
Gas,"24,164,354","2,257,460"
Gas,"363,885","1,250,385"
Gas,"22,751,224","2,046,428"
Gas,735,"619,316"
Gas,"11,664,975","1,004,326"
Gas,0,"617,291"
Gas,"11,916,521","906,487"
Gas,"222,442","262,472"
Gas,"5,695,325","471,294"
Gas,"8,099","795,092"
Gas,"17,730,155","1,645,864"
Gas,"1,560,913","161,087"
Gas,"321,857","840,959"
Gas,"21,673,993","1,942,654"
Gas,"10,807,576","1,084,209"
Gas,"8,107","1,160"
Gas,"992,829","81,845"
Gas,"26,993","4,766"
Gas,"6,273,869","415,473"
Gas,"9,395,787","1,042,461"
Gas,"1,077,409","121,620"
Gas,"54,528","4,370"
Gas,"215,583","23,945"
Gas,"30,405,959","3,906,706"
Gas,"42,914,815","6,477,103"
Gas,"200,026","25,183"
Gas,0,0
Gas,"373,789","71,330"
Gas,0,0
Gas,"5,200,248","723,134"
Gas,"1,246,448","176,963"
Gas,"1,223,422","129,120"
Gas,0,0
Gas,"4,030,524","410,028"
Gas,0,0
Gas,"16,533",575
Gas,"441,708","71,719"
Gas,"12,109,803","2,207,010"
Gas,"22,599,442","4,427,661"
Gas,"166,161","16,237"
Gas,"521,613","40,504"
Nuclear,"59,884,875","5,664,382"
Nuclear,"103,144,909","9,834,564"
Nuclear,"86,395,676","8,237,574"
Nuclear,"83,884,660","7,998,156"
Gas,"38,449","2,945"
Gas,"1,369,553","213,364"
Gas,"230,787","42,655"
Gas,"2,295,138","424,202"
Gas,"1,304,852","254,858"
Gas,"358,349","63,495"
Gas,"13,414","2,574"
Gas,"2,218,659","295,636"
Gas,88,"16,468"
Gas,"357,914","32,782"
Gas,"487,357","12,384"
Gas,0,0
Gas,0,0
Gas,"709,129","45,497"
Gas,"691,168","27,198"
Gas,"2,430",512
Gas,0,0
Gas,"99,767","17,844"
Gas,"716,213","145,326"
Other,0,0
Other,0,0
Other,0,0
Other,0,0
Other,0,0
Other,0,0
Petroleum,0,0
Petroleum,"34,561","2,159"
Petroleum,"2,446,811","201,132"
Petroleum,0,0
Petroleum,"1,027,584","140,433"
Petroleum,"1,570,133","133,393"
Petroleum,0,0
Petroleum,"7,491,993","690,855"
Petroleum,"2,289,408","217,951"
Petroleum,"2,138,389","116,781"
Gas,"6,711",562
Petroleum,"57,127","4,518"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"3,187",236
Petroleum,0,0
Coal,0,0
Solar,"18,531","1,875"
Solar,"89,282","9,033"
Solar,"184,189","18,635"
Solar,"622,407","62,971"
Solar,"628,258","63,563"
Solar,"591,261","59,820"
Solar,"620,221","62,750"
Solar,"582,661","58,950"
Solar,"1,299,489","131,474"
Solar,"1,381,348","139,756"
Solar,0,0
Solar,"29,025","2,936"
Solar,0,0
Coal,0,0
Other,"106,022","14,502"
Other,"108,610","10,513"
Other,"2,003,428","202,694"
Other,"249,023","25,195"
Other,0,0
Wind,"1,719,816","174,000"
Wind,"622,651","62,996"
Wind,"1,635,260","165,445"
Wind,"840,328","85,019"
Wind,"1,270,345","128,525"
Wind,"5,626,566","569,260"
Wind,"877,748","88,805"
Wind,"471,594","47,713"
Wind,"702,871","71,112"
Wind,"832,291","84,206"
Wind,"567,411","57,407"
Wind,"1,421,704","143,839"
Wind,"1,762,771","178,346"
Wind,"1,237,872","125,240"
Wind,"1,865,171","188,706"
Wind,"3,941,097","398,735"
Wind,"1,416,911","143,354"
Wind,"1,602,513","162,132"
Wind,"3,912,067","395,798"
Wind,"1,336,050","135,173"
Wind,"968,780","98,015"
Wind,"1,523,875","154,176"
Wind,"4,032,286","407,961"
Wind,"2,274,432","230,112"
Wind,"14,515,258","1,468,562"
Petroleum,0,"4,139"
Petroleum,"370,200","64,283"
Biomass,73,7
Biomass,"170,412","4,971"
Biomass,"123,524","8,822"
Biomass,"222,445","35,772"
Biomass,"4,163",956
Coal,"34,828,680","3,122,482"
Coal,"7,133,892","731,600"
Coal,"18,019,082","1,639,057"
Coal,"34,693,405","3,225,460"
Coal,"7,915,275","644,842"
Coal,0,0
Coal,0,0
Coal,"8,443,454","631,269"
Coal,"959,232","166,286"
Petroleum,0,0
Petroleum,0,0
Petroleum,"15,741","1,469"
Petroleum,"5,139",513
Petroleum,"1,426",142
Petroleum,"12,840","1,222"
Petroleum,0,0
Petroleum,53,7
Petroleum,"8,311",700
Petroleum,0,0
Petroleum,"88,048","6,145"
Petroleum,"23,006","2,270"
Petroleum,0,0
Petroleum,0,0
Petroleum,25,5
Hydro,0,"-79,349"
Hydro,"2,099,521","212,416"
Hydro,0,629
Hydro,0,"-29,938"
Hydro,"16,588,723","1,678,341"
Hydro,"1,655,168","167,459"
Gas,"978,961","87,690"
Gas,"742,485","69,532"
Gas,"20,063","1,253"
Gas,"37,614","2,756"
Gas,"91,325",798
Gas,"69,962","6,322"
Gas,"29,457","2,731"
Gas,"95,515","9,465"
Gas,"953,648","1,254,512"
Gas,"28,213,731","2,490,426"
Gas,"1,972,366","189,985"
Gas,"173,898","9,876"
Gas,"369,020","29,648"
Gas,"54,259","3,878"
Gas,"345,828","148,200"
Gas,"7,819,379","733,418"
Gas,0,307
Gas,"21,897","2,786"
Gas,"4,505,534","410,747"
Gas,"44,763","60,076"
Gas,"2,591,093","242,614"
Gas,"206,239","655,269"
Gas,"14,370,287","1,245,469"
Gas,"4,537,449","431,040"
Gas,"4,748,102","418,662"
Gas,"3,314,617","1,455,361"
Gas,"23,266,097","2,054,083"
Gas,"10,457,691","944,044"
Gas,"35,617","5,899"
Gas,0,0
Gas,"99,686","11,832"
Gas,"964,524","98,004"
Gas,"17,397","1,840"
Gas,"289,618","25,242"
Gas,"253,136","29,636"
Gas,"2,875,707","355,594"
Gas,"177,994","51,182"
Gas,"1,121,862","146,555"
Gas,"481,710","83,701"
Gas,"77,630","13,457"
Gas,"269,000","18,472"
Gas,0,0
Gas,0,0
Petroleum,276,10
Petroleum,0,0
Solar,"163,389","16,530"
Coal,0,0
Coal,"49,324,330","4,635,487"
Coal,"3,913,113","374,033"
Coal,"2,181,195","198,048"
Coal,0,0
Coal,"94,672,623","9,415,437"
Coal,"22,227,742","2,090,613"
Coal,"23,675,201","2,352,401"
Coal,"16,684,416","1,587,666"
Coal,"10,037,076","826,409"
Other,"332,424","33,633"
Wind,"428,905","43,394"
Wind,"2,394,202","242,230"
Wind,"9,026,877","913,282"
Wind,"6,326,817","640,107"
Wind,"6,053,418","612,446"
Wind,"150,418","15,218"
Wind,"4,699,399","475,455"
Petroleum,"33,222","2,701"
Petroleum,"2,131",369
Biomass,"4,400,238","269,316"
Biomass,"3,974,343","224,566"
Biomass,0,0
Biomass,"182,978","15,410"
Biomass,"4,456,035","242,280"
Biomass,"80,830","2,230"
Coal,0,0
Coal,0,0
Coal,"13,849,278","1,458,558"
Coal,0,0
Petroleum,0,0
Petroleum,"6,747",613
Petroleum,"2,525",180
Petroleum,"1,665",58
Petroleum,"11,032",909
Petroleum,0,0
Petroleum,0,0
Petroleum,"46,307","2,629"
Petroleum,"20,200","-5,541"
Petroleum,"16,672","1,237"
Petroleum,"19,389","2,014"
Petroleum,"13,402","1,832"
Petroleum,"45,694","5,917"
Petroleum,"3,466",262
Petroleum,"9,121",929
Petroleum,"30,944","2,816"
Petroleum,"38,784","1,871"
Petroleum,0,0
Petroleum,"5,829",564
Petroleum,0,0
Petroleum,738,119
Hydro,0,"5,385"
Hydro,"509,407","51,539"
Hydro,"5,649,538","571,584"
Petroleum,0,0
Petroleum,"2,569",90
Petroleum,"5,013",368
Petroleum,0,0
Petroleum,"109,123","9,286"
Petroleum,"21,876","1,646"
Petroleum,0,0
Petroleum,0,0
Petroleum,"47,769","3,449"
Other,"3,457,467","211,613"
Other,"3,122,697","176,444"
Other,"3,438,264","182,531"
Gas,"2,843",148
Gas,"95,111","7,101"
Gas,"1,067,708","90,279"
Gas,0,0
Gas,"30,664","2,484"
Gas,0,"906,653"
Gas,"18,827,558","1,712,572"
Gas,"26,077,888","3,572,333"
Gas,"19,991,810","2,663,652"
Gas,"1,158,589","108,334"
Gas,0,0
Gas,0,0
Gas,"69,109","27,384"
Gas,"2,051,758","302,774"
Gas,"279,294","24,162"
Gas,"44,865","7,205"
Gas,"227,147","36,479"
Gas,"764,592","124,722"
Gas,"482,403","91,913"
Nuclear,"65,436,393","6,239,168"
Nuclear,"109,266,280","10,418,219"
Other,0,0
Other,"130,836","13,237"
Petroleum,0,0
Petroleum,"322,242","25,647"
Petroleum,"408,915","36,013"
Petroleum,"700,655","60,066"
Petroleum,"119,462","9,065"
Petroleum,"1,527,957","121,116"
Petroleum,"24,916","5,012"
Coal,"10,279,873","994,940"
Other,"1,861,676","128,696"
Petroleum,"2,533",183
Petroleum,"291,288","24,710"
Petroleum,"197,092","10,789"
Biomass,"1,087,702","84,936"
Biomass,0,0
Biomass,"598,046","53,365"
Coal,"5,345,163","441,242"
Coal,"26,417,389","2,296,540"
Coal,0,0
Coal,"1,320,551","94,995"
Coal,"345,831","57,878"
